image_id,artwork_id,artist,width,height,aspect_ratio,colorfulness,HR,FAR,CR,RESMEM
88fd4c7e-c0c3-3c95-48f0-6d61c57c76e1,224326,Charline von Heyl,4706,2012,2.3389662027833,60.0108,0.875,0.025,0.85,0.866960883140564
94387fff-971c-d2d2-737d-de157d09fc03,251290,Sara Sosnowy,4180,5387,0.7759420827919065,65.8469,0.85,0.0,0.85,0.875510573387146
a0eaf95b-694c-f6fa-1a33-90777b5c62ca,229362,Andy Warhol,2225,2250,0.9888888888888889,14.082,0.95,0.1,0.85,0.858592569828033
a799c64e-66dd-f356-5851-c2a9d5e922cc,118964,Walt Kuhn,2821,2250,1.2537777777777779,35.5723,0.85,0.0,0.85,0.763225138187408
a8fe598b-a83b-1cd4-e4fb-ffc63599f249,32349,Edward Joseph Ruscha,4437,5039,0.8805318515578487,51.5774,0.875,0.025,0.85,0.920542061328887
ae593ea2-9fce-817d-7bad-940415beddd8,82506,Horacio Renteria Rocha,1699,2250,0.7551111111111111,30.5454,0.9,0.05,0.85,0.755606830120086
da4ecac6-5023-7afd-413a-b766cbbb9380,100076,Horia Damian,3000,2179,1.3767783386874712,19.7334,0.875,0.025,0.85,0.723691463470459
ec3561ff-0793-a9e4-51c7-ab9bf12392d7,82499,Constantin Brancusi,4090,8864,0.4614169675090253,41.1115,0.85,0.0,0.85,0.855099380016326
f256b665-f3ad-dfd0-c75a-7c890b5a5cc4,55967,Joseph Yoakum,3000,1926,1.557632398753894,16.2742,0.9,0.05,0.85,0.842977046966552
f4d5c027-dc92-2efe-88db-dfa508c09657,,Ben Nicholson,3000,1391,2.156721782890007,28.804,0.875,0.025,0.85,0.880371451377868
f509eab9-20e8-0153-b7a4-0a2702a28ca8,182383,Elbridge Ayer Burbank,1687,2250,0.7497777777777778,37.8427,0.9,0.05,0.85,0.923838436603546
f9bd5533-4c7f-fc2d-0bd2-db8581c4ff52,93814,Ivan Albright,6560,8201,0.7999024509206194,11.8349,0.9,0.05,0.85,0.763966679573059
fc831cd3-8a53-4d12-43e9-55635c833d84,53042,Charles Green Shaw,3000,1987,1.509813789632612,63.5867,0.875,0.025,0.85,0.959982693195343
1b09b81c-d793-e6f9-7862-8770be502f7b,94123,Pierre Charles Tremolieres,2876,2250,1.2782222222222221,0.0,0.9,0.05,0.85,0.791447639465332
34ecfe47-70cc-7f1d-fc4d-af7ba35a570c,93372,"Frans Floris, I",5756,8260,0.6968523002421307,29.9738,0.9,0.05,0.85,0.822836577892303
56bb73d6-f164-d130-9964-fcb495d93c20,133531,Henry Alken,3000,2316,1.2953367875647668,15.9903,0.875,0.025,0.85,0.787345707416534
6a1494fe-ed5e-c3a4-7758-a23779bb6fde,159069,Paul Gauguin,1726,2250,0.7671111111111111,68.9878,0.9,0.05,0.85,0.804981410503387
